D,T,C
19/09/05,12:43:59,5.3409826
19/09/05,12:44:00,6.598239100000001
19/09/05,12:44:01,6.1119908999999994
19/09/05,12:44:02,6.241865100000001
19/09/05,12:44:03,5.3949938
19/09/05,12:44:04,5.885117300000001
19/09/05,12:44:05,6.089656900000001
19/09/05,12:44:06,5.1089432
19/09/05,12:44:07,5.301586800000001
19/09/05,12:44:08,4.628628699999999
19/09/05,12:44:09,5.6770901
19/09/05,12:44:10,8.1204732
19/09/05,12:44:11,7.863842800000002
19/09/05,12:44:12,7.974893800000001
19/09/05,12:44:13,7.324943999999999
19/09/05,12:44:14,7.9048821
19/09/05,12:44:15,7.8537114
19/09/05,12:44:16,7.6416751
19/09/05,12:44:17,7.494378300000002
19/09/05,12:44:18,8.0342736
19/09/05,12:44:19,7.449327399999999
19/09/05,12:44:20,8.9068046
19/09/05,12:44:21,7.7358666000000005
19/09/05,12:44:22,7.7571974
19/09/05,12:44:23,7.8680698
19/09/05,12:44:24,7.9486982
19/09/05,12:44:25,7.4386374
19/09/05,12:44:26,7.9550738999999995
19/09/05,12:44:27,7.625310099999998
19/09/05,12:44:28,8.3599301
19/09/05,12:44:29,7.4762946999999995
19/09/05,12:44:30,7.8502724000000015
19/09/05,12:44:31,7.8779072999999995
19/09/05,12:44:32,7.810041999999999
19/09/05,12:44:33,8.0126813
19/09/05,12:44:34,8.087084500000001
19/09/05,12:44:35,8.1008024
19/09/05,12:44:36,8.086168800000001
19/09/05,12:44:37,7.881017100000001
19/09/05,12:44:38,7.676315699999999
19/09/05,12:44:39,7.468667899999999
19/09/05,12:44:40,7.3154531
19/09/05,12:44:41,7.7838837000000005
19/09/05,12:44:42,7.5757856
19/09/05,12:44:43,7.990717400000001
19/09/05,12:44:44,6.4078641
19/09/05,12:44:45,6.0275378
19/09/05,12:44:46,6.007809600000002
19/09/05,12:44:47,6.250956199999999
19/09/05,12:44:48,5.9463458000000005
19/09/05,12:44:49,7.1941709000000005
19/09/05,12:44:50,6.657207800000001
19/09/05,12:44:51,6.4053093
19/09/05,12:44:52,6.675680800000001
19/09/05,12:44:53,6.833389800000001
19/09/05,12:44:54,7.702716000000001
19/09/05,12:44:55,8.321590400000002
19/09/05,12:44:56,8.2221467
19/09/05,12:44:57,7.811443400000001
19/09/05,12:44:58,7.8099774
19/09/05,12:44:59,7.689233800000002
19/09/05,12:45:00,7.6556985
19/09/05,12:45:01,7.575634699999999
19/09/05,12:45:02,7.7751186
19/09/05,12:45:03,6.569511899999998
19/09/05,12:45:04,7.616806000000001
19/09/05,12:45:05,7.9600413
19/09/05,12:45:06,7.9403861
19/09/05,12:45:07,7.7767592
19/09/05,12:45:08,7.315574599999999
19/09/05,12:45:09,6.8559798999999995
19/09/05,12:45:10,8.031481000000001
19/09/05,12:45:11,7.8387753
19/09/05,12:45:12,7.722283600000001
19/09/05,12:45:13,7.7208277999999995
19/09/05,12:45:14,7.7134371
19/09/05,12:45:15,7.844387500000002
19/09/05,12:45:16,8.0312307
19/09/05,12:45:17,8.064181599999998
19/09/05,12:45:18,8.2349201
19/09/05,12:45:19,7.805092600000002
19/09/05,12:45:20,8.384504900000001
19/09/05,12:45:21,8.278675
19/09/05,12:45:22,7.628468500000001
19/09/05,12:45:23,8.002792199999998
19/09/05,12:45:24,8.1526283
19/09/05,12:45:25,8.3124737
19/09/05,12:45:26,7.965076200000001
19/09/05,12:45:27,8.131545899999999
19/09/05,12:45:28,7.994824700000001
19/09/05,12:45:29,8.1191251
19/09/05,12:45:30,8.236634099999998
19/09/05,12:45:31,7.8618784
19/09/05,12:45:32,7.448315699999998
19/09/05,12:45:33,7.698071199999999
19/09/05,12:45:34,7.9593198
19/09/05,12:45:35,7.859839400000002
19/09/05,12:45:36,7.963625799999999
19/09/05,12:45:37,7.970756899999999
19/09/05,12:45:38,7.266314100000001
19/09/05,12:45:39,7.659096700000001
19/09/05,12:45:40,7.979375799999999
19/09/05,12:45:41,7.868513999999999
19/09/05,12:45:42,7.4008555000000005
19/09/05,12:45:43,7.0069737
19/09/05,12:45:44,6.838904799999999
19/09/05,12:45:45,5.957123300000001
19/09/05,12:45:46,7.155251800000001
19/09/05,12:45:47,6.269424399999999
19/09/05,12:45:48,8.6288719
19/09/05,12:45:49,6.4985691999999995
19/09/05,12:45:50,7.2142551
19/09/05,12:45:51,8.783534099999999
19/09/05,12:45:52,7.8858565
19/09/05,12:45:53,7.8611365000000015
19/09/05,12:45:54,6.6793958
19/09/05,12:45:55,9.034717500000001
19/09/05,12:45:56,7.7091211
19/09/05,12:45:57,7.997178700000001
19/09/05,12:45:58,6.773358200000001
19/09/05,12:45:59,6.133376900000001
19/09/05,12:46:00,9.5499806
19/09/05,12:46:01,7.900118500000001
19/09/05,12:46:02,4.5132806
19/09/05,12:46:03,9.0244265
